Name_kurz	Name	BTS_Name	x_Wert	y_wert	Gelaendehoehe	Status	BTS_Konfig	TOC	Swap	Barring	NumAntennas	Azimuth	Antenne	Anthoehe	Beam	v_Beam	Tilt	el_Tilt	eff_Tilt	Azimuth2	Antenne2	Anthoehe2	Beam2	v_Beam2	Tilt2	el_Tilt2	eff_Tilt2	CI	LAC	CI_LAC	BCC	NumTRX	BCCH	TRX2	TRX3	TRX4	TRX5	TRX6	OMC_Datum	OMC_BCC	OMC_TRX1	OMC_TRX2	OMC_TRX3	OMC_TRX4	OMC_TRX5	OMC_TRX6	OMC_TRX7	OMC_TRX8	Ant_Freq_Band	TOC_Freq_Band	Grenze	Kanalanz_Grenze	ORT	STRASSE	GEBAEUDEART	Funknetzplaner	Funknetzoptimierer	Field_Force	Baukoordinator	StO_Nr	Kategorie	Systemtechnik	UMTS_NE
33B	305300033B	305300033B:sector3	3357568	5705463	69	671	Kein MHA	BSS-blocked	not_defined	D1-Barring	1	240	930DD85T2E-H	29	84	6	0	2	2									45033	31101	45033_31101																			GSM 1800	D (DCS1800)			Essen , Ruhr	Bocholder Str. 11 - 13	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990381	On Air	?	-
34C	305300034C	305300034C:sector1	3359579	5700478	132	100	MHA	TOC	Swap-1800-900	D1-Barring	1	90	UMWD-06516-XD_2	30	67	7	0	2	2									5034	31101	5034_31101	3	2	708	680															GSM 1800	D (DCS1800)			Essen	Spiekeroogweg 1	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990075	On Air	?	-
34C	305300034C	305300034C:sector2	3359579	5700478	132	100	MHA	TOC	Swap-1800-900	D1-Barring	1	210	UMWD-06516-XD_2	30	67	7	0	2	2									25034	31101	25034_31101	1	2	658	667															GSM 1800	D (DCS1800)			Essen	Spiekeroogweg 1	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990075	On Air	?	-
34C	305300034C	305300034C:sector3	3359579	5700478	132	100	MHA	TOC	Swap-1800-900	D1-Barring	1	330	UMWD-06516-XD_2	30	67	7	0	2	2									45034	31101	45034_31101	3	2	692	695															GSM 1800	D (DCS1800)			Essen	Spiekeroogweg 1	Wohnhaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990075	On Air	?	-
35A	305300035A	305300035A:sector1	3360785	5704123	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	0	K 739_495	23	64	7	0	2	2									5035	31101	5035_31101	4	2	643	686															GSM 1800	D (DCS1800)			Essen	Frohnhauser Straße 73	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990192	On Air	?	-
35A	305300035A	305300035A:sector2	3360785	5704123	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	120	K 739_495	22	64	7	0	2	2									25035	31101	25035_31101	6	2	680	641															GSM 1800	D (DCS1800)			Essen	Frohnhauser Straße 73	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990192	On Air	?	-
35A	305300035A	305300035A:sector3	3360785	5704123	77	100	Kein MHA	TOC	not_defined	D1-Barring	1	240	K 739_495	22	64	7	2	2	4									45035	31101	45035_31101	6	2	709	713															GSM 1800	D (DCS1800)			Essen	Frohnhauser Straße 73	Gewerbegebäude	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Henryk Skowasch	345990192	On Air	?	-
36B	305300036B	305300036B:sector1	3359988	5706047	60	100	Kein MHA	TOC	not_defined	D1-Barring	1	60	932DD85T2E-H	30	84	5	2	2	4									5036	31101	5036_31101	7	2	680	641															GSM 1800	D (DCS1800)			Essen	Helenenstraße 149	Bürohaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990361	On Air	?	-
36B	305300036B	305300036B:sector2	3359988	5706047	60	100	Kein MHA	TOC	not_defined	D1-Barring	1	180	932DD85T2E-H	30	84	5	0	2	2									25036	31101	25036_31101	2	2	711	657															GSM 1800	D (DCS1800)			Essen	Helenenstraße 149	Bürohaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990361	On Air	?	-
36B	305300036B	305300036B:sector3	3359988	5706047	60	100	Kein MHA	TOC	not_defined	D1-Barring	1	300	932DD85T2E-H	30	84	5	0	2	2									45036	31101	45036_31101	1	2	661	674															GSM 1800	D (DCS1800)			Essen	Helenenstraße 149	Bürohaus	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Frank Wenner	345990361	On Air	?	-
37C	305300037C	305300037C:sector1	3359697	5707593	39	100	Kein MHA	TOC	not_defined	D1-Barring	1	30	K 742_234_2	45	64	7	0	2	2									5037	31101	5037_31101	5	3	669	715	722														GSM 1800	D (DCS1800)			Essen	Hafenstr. 97 a /Georg Melches Stadion	Mast - Flutlicht	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990389	On Air	?	-
37C	305300037C	305300037C:sector2	3359697	5707593	39	100	Kein MHA	TOC	not_defined	D1-Barring	1	150	K 742_234_2	45	64	7	0	2	2									25037	31101	25037_31101	0	3	701	663	637														GSM 1800	D (DCS1800)			Essen	Hafenstr. 97 a /Georg Melches Stadion	Mast - Flutlicht	Thorsten Krüger	Dirk Fischer	Herr Frank Kowalski	Thomas Esser	345990389	On Air	?	-
